Transition,2025-04-01 17,2025-04-01 18,2025-04-01 19,2025-04-01 20,2025-04-01 21,2025-04-01 22,2025-04-01 23,2025-04-02 00,2025-04-02 01,2025-04-02 02,2025-04-02 03,2025-04-02 04,2025-04-02 05,2025-04-02 06,2025-04-02 07,2025-04-02 08,2025-04-02 09,2025-04-02 10,2025-04-02 11,2025-04-02 12,2025-04-02 13,2025-04-02 14,2025-04-02 15,2025-04-02 16,2025-04-02 17
Blue → Green,20,20,14,4,10,5,1,3,0,1,0,1,2,11,38,23,15,8,14,17,12,26,23,30,21
Blue → Red,10,5,2,5,2,1,3,1,0,0,0,1,1,3,2,5,2,2,3,6,7,9,8,9,2
Blue → White,17,16,19,8,3,8,4,0,2,1,1,7,13,28,27,16,13,13,11,18,15,23,18,28,19
Green → Blue,50,22,23,18,14,9,8,1,2,3,2,0,1,12,33,30,19,15,25,16,25,59,39,40,32
Green → Red,27,16,5,10,4,3,3,4,0,0,0,0,1,8,16,20,6,13,7,11,14,31,34,28,12
Green → White,29,33,20,18,20,10,1,0,1,5,1,1,4,18,30,39,24,32,29,36,21,44,30,39,26
Red → Blue,8,7,7,7,2,5,3,1,0,0,0,0,2,1,4,6,6,7,3,2,11,4,6,12,3
Red → Green,15,8,4,3,8,3,2,2,0,0,1,1,0,3,8,8,6,7,5,9,6,6,6,11,5
Red → White,272,282,231,225,177,121,88,23,30,23,41,116,330,428,398,339,306,295,247,262,270,321,267,219,218
White → Blue,36,42,22,20,12,5,12,3,1,3,2,1,5,11,21,11,16,10,15,16,16,26,33,36,37
White → Green,15,15,6,4,7,4,3,3,2,5,1,0,1,4,10,10,15,14,12,14,20,16,13,14,12
White → Red,344,329,236,208,131,114,73,38,25,24,15,20,41,107,159,154,176,180,191,208,261,301,338,365,318
Total Volume,843,795,589,530,390,288,201,79,63,65,64,148,401,634,746,661,604,596,562,615,678,866,815,831,705
